Record #,Fitness,Parents' Health,Family Size,Education,Gender,Home Climate,Performance,Name
1,excellent,excellent,small,college,M,cold,A,John Blake
2,excellent,excellent,small,some college,M,cold,C,Max Hernandez
3,excellent,excellent,small,no college,M,cold,C,Paul Roy
4,excellent,excellent,large,college,F,hot,A,Jane Lopez
5,excellent,excellent,large,some college,F,hot,C,Carolyn Lewis
6,excellent,excellent,large,no college,F,hot,C,Natasha O'Connor
7,excellent,fair,small,college,F,cold,B,Yolanda Fisher
8,excellent,fair,small,some college,F,cold,D,Carolyn Kelly
9,excellent,fair,small,no college,F,cold,D,Dana Murphy
10,excellent,fair,large,college,M,hot,B,David Foster
11,excellent,fair,large,some college,M,hot,D,Alexander G—mez
12,excellent,fair,large,no college,M,hot,D,Matthew Anderson
13,average,excellent,small,college,M,cold,B,Thomas Cooper
14,average,excellent,small,some college,M,cold,D,Jay Flores
15,average,excellent,small,no college,M,cold,D,Dennis Davis
16,average,excellent,large,college,F,hot,B,Alice Hughes
17,average,excellent,large,some college,F,hot,D,Theodora Rodr’guez
18,average,excellent,large,no college,F,hot,D,Daisy Smith
19,average,fair,small,college,F,cold,C,Teresa Moore
20,average,fair,small,some college,F,cold,E,Kathy Nguyen
21,average,fair,small,no college,F,cold,E,Jennifer Young
22,average,fair,large,college,M,hot,C,Rick Garc’a
23,average,fair,large,some college,M,hot,E,Corey Lee
24,average,fair,large,no college,M,hot,E,Albert Campbell
